"","workerid","complete_sentence","segment4","condition","seg3","seg4","seg5","seg6","seg7","seg8","seg9","seg10","seg11","seg12"
"28",0,"""The students had prepared for the final presentation.Allie asked Margaret whether all were supposed to present today.Margaret said that only some of them were.She addedthatthe restwould bepresentingon Thursday.""",""" only some of them """,""" all """,625,302,403,271,280,252,279,244,555,NA
"29",0,"""Susie heard Matthew&quotechars friends at the door.She asked him whether all were going to the movie with him.Matthew said that only some of them were.He addedthatthe restwould betoobusy.""",""" only some of them """,""" all """,872,331,418,243,245,267,253,514,555,NA
"30",0,"""The local papers were all covering Jason&quotechars press conference.Jason asked his publicist Sally whether all would run a front-page story.Sally said that only some of them would.She addedthatthe restwould berunningother stories.""",""" only some of them """,""" all """,623,266,279,244,217,223,232,228,247,NA
"31",0,"""Max and Aaron were getting ready to host prospective students.Max asked Aaron whether all needed rides from the airport.Aaron said that some of them did.He addedthatthe restwould bedrivingthemselves.""",""" some of them """,""" all """,611,256,215,266,288,299,288,475,447,NA
"32",0,"""Andy and Lisa were moving some pieces of furniture.Lisa asked Andy whether any would fit in his car.Andy said that only some of them would.He addedthatthe restwould betoo bigfor his car.""",""" only some of them """,""" any """,575,443,250,275,227,526,295,292,522,NA
"33",0,"""Jim and Breanna were thinking of inviting their classmates to the movie theater.Jim asked Breanna whether any were interested in artsy movies.Breanna said that some of them were.She addedthatthe restwould  beboredat those movies.""",""" some of them """,""" any """,769,568,396,364,320,339,293,278,402,NA
"34",0,"""Kurt and Brooke were thinking of selling their movies at a yard sale.Brooke asked Kurt whether all were all right to sell.Kurt said that only some of them were.He addedthatthe restwould beinappropriatefor kids.""",""" only some of them """,""" all """,615,326,282,284,267,263,250,236,236,NA
"35",0,"""David and Brandon were looking at upcoming video games in the magazine.David asked Brandon whether all would have a multiplayer mode.Brandon said that some of them would.He addedthatthe restwould besingle playeronly.""",""" some of them """,""" all """,631,298,364,289,345,392,314,300,286,NA
"36",0,"""The soccer players were all training very hard.Eric asked Jack whether any would go to the tournament.Jack said that some of them would.He addedthatthe restwould bestayingin town.""",""" some of them """,""" any """,575,271,255,244,223,228,265,240,276,NA
"37",0,"""Greg was trying to choose which wine to order with dinner.He asked the waitress Michelle whether any would go well with fish.Michelle said that only some of them would.She addedthatthe restwould betoo sweetfor that.""",""" only some of them """,""" any """,460,283,254,238,251,242,264,250,485,NA
"38",0,"""Mrs. Landman was looking at laptops for her grandson.She asked the employee Larry whether all were easy to carry around.Larry said that some of them were.He addedthatthe restwould bepretty heavyto carryto classes.""",""" some of them """,""" all """,541,317,245,219,221,211,224,222,504,447
"39",0,"""In the store, Sally was unpacking the new shipment of shoes.She asked Tiffany whether all should be marked on sale.Tiffany said that some of them should.She addedthatthe restwould beatfull price.""",""" some of them """,""" all """,608,355,274,245,231,239,266,264,363,NA
"40",0,"""Brian had just finished checking the bikes in Tom&quotechars garage.Tom asked Brian whether any needed to get a tune-up.Brian said that only some of them did.He addedthatthe restwould befineforanother few months.""",""" only some of them """,""" any """,639,256,267,237,234,192,208,189,207,676
"41",0,"""The kids in the first grade class were getting antsy.Kim asked Mrs. Brady whether all could go outside for recess.Mrs. Brady said that some of them could.She addedthatthe restwould bestaying insideto do make-up work.""",""" some of them """,""" all """,432,410,247,225,228,240,229,237,491,546
"42",0,"""Terry and his coach Rick were discussing top runners from the area.Terry asked Rick whether all would be at the race.Rick said that some of them would.He addedthatthe restwould berestingfor the championships.""",""" some of them """,""" all """,580,573,333,271,264,225,231,196,246,NA
"43",0,"""Justin wanted to find out which of Mike&quotechars desserts he could eat.He asked Mike whether any could be made gluten free.Mike said that some of them could.He addedthatthe restwould behard to dothat way.""",""" some of them """,""" any """,618,264,262,248,253,279,272,312,606,NA
"44",0,"""Bill took out the fancy candles from the drawer.He asked Claire whether all should be lit for dinner.Claire said that some of them should.She addedthatthe restwould beneededlater.""",""" some of them """,""" all """,571,284,277,260,239,239,239,259,366,NA
"45",0,"""Ryan had moved to a new town and was curious about the radio stations there.He asked John whether any would play classic rock hits.John said that some of them would.He addedthatthe restwould beonlycountry music.""",""" some of them """,""" any """,944,455,362,285,268,269,478,496,546,NA
"46",0,"""Darren knew his relatives would come for his birthday.Darren asked his mother, Sally, whether any would be giving him clothes.Sally said that some of them would.She addedthatthe restwould besending himelectronics.""",""" some of them """,""" any """,591,261,398,252,243,243,234,242,430,NA
"47",0,"""Mary was preparing to throw a party for John&quotechars relatives.She asked John whether any were staying in his apartment.John said that only some of them were.He addedthatthe restwould bestayingin a hotel.""",""" only some of them """,""" any """,402,401,273,264,235,222,228,273,500,NA
"48",1,"""Andrea was looking at computers in the store.She asked the clerk Tom whether all came with webcams built in.Tom said that only some of them did.He addedthatthe restwould beable to usea USB webcam.""",""" only some of them """,""" all """,759,607,683,532,398,409,493,393,1518,NA
"49",1,"""Tracy and Mark were trying to choose a restaurant downtown for their rehearsal dinner.Mark asked Tracy whether all were open on the weekends.Tracy said that some of them were.She addedthatthe restwould beclosedat that time.""",""" some of them """,""" all """,758,415,325,316,551,500,452,484,568,NA
"50",1,"""Ed and Hillary were considering several universities for grad school.Hillary asked Ed whether all were very competitive in admissions.Ed said that only some of them were.He addedthatthe restwould beeasyto get into.""",""" only some of them """,""" all """,1062,910,518,466,419,270,357,398,392,NA
"51",1,"""Ryan had moved to a new town and was curious about the radio stations there.He asked John whether all would play classic rock hits.John said that some of them would.He addedthatthe restwould beonlycountry music.""",""" some of them """,""" all """,1015,605,335,271,269,320,278,320,381,NA
"52",1,"""Jim and Breanna were thinking of inviting their classmates to the movie theater.Jim asked Breanna whether any were interested in artsy movies.Breanna said that some of them were.She addedthatthe restwould  beboredat those movies.""",""" some of them """,""" any """,614,469,342,295,235,248,286,319,460,NA
"53",1,"""Paul and Deb were trying to decide which gym to go to.Paul asked Deb whether all had discounts for college students.Deb said that only some of them did.She addedthatthe restwould beatfull price.""",""" only some of them """,""" all """,820,486,377,269,342,342,296,427,455,NA
"54",1,"""Alex was perusing the breakfast cereals at the grocery store.He asked Carrie whether all had high levels of sugar.Carrie said that only some of them did.She addedthatthe restwould behealthierbutnot as tasty.""",""" only some of them """,""" all """,814,592,533,485,453,438,365,312,336,437
"55",1,"""Bill took out the fancy candles from the drawer.He asked Claire whether any should be lit for dinner.Claire said that some of them should.She addedthatthe restwould beneededlater.""",""" some of them """,""" any """,645,303,302,359,453,303,279,334,414,NA
"56",1,"""The local papers were all covering Jason&quotechars press conference.Jason asked his publicist Sally whether any would run a front-page story.Sally said that only some of them would.She addedthatthe restwould berunningother stories.""",""" only some of them """,""" any """,743,278,268,279,317,374,303,334,438,NA
"57",1,"""Jenna and Alex were making cupcakes.Jenna asked Alex whether all were ready to be frosted.Alex said that some of them were.He addedthatthe restwould bereadysoon.""",""" some of them """,""" all """,758,476,222,256,478,270,246,310,460,NA
"58",1,"""Max and Aaron were getting ready to host prospective students.Max asked Aaron whether any needed rides from the airport.Aaron said that only some of them did.He addedthatthe restwould bedrivingthemselves.""",""" only some of them """,""" any """,935,813,806,784,613,372,447,480,427,NA
"59",1,"""Terry and his coach Rick were discussing top runners from the area.Terry asked Rick whether any would be at the race.Rick said that only some of them would.He addedthatthe restwould berestingfor the championships.""",""" only some of them """,""" any """,616,477,494,421,430,430,369,492,823,NA
"60",1,"""Kurt and Brooke were thinking of selling their movies at a yard sale.Brooke asked Kurt whether all were all right to sell.Kurt said that only some of them were.He addedthatthe restwould beinappropriatefor kids.""",""" only some of them """,""" all """,654,494,406,430,360,277,349,438,502,NA
"61",1,"""Quinn and Chase were thinking about going to one of the season&quotechars ball games.Quinn asked Chase whether any were scheduled for the afternoon.Chase said that some of them were.He addedthatthe restwould beplayedat night.""",""" some of them """,""" any """,661,366,350,293,215,213,277,238,295,NA
"62",1,"""Mary was preparing to throw a party for John&quotechars relatives.She asked John whether all were staying in his apartment.John said that only some of them were.He addedthatthe restwould bestayingin a hotel.""",""" only some of them """,""" all """,790,606,454,519,294,326,182,261,565,NA
"63",1,"""Alexa was looking at the puppies at the shelter..She asked the employee Stephen whether any would grow into large dogs.Stephen said that some of them would.He addedthatthe restwould besmallwhen full-grown.""",""" some of them """,""" any """,607,542,405,399,254,222,287,389,638,NA
"64",1,"""Susie heard Matthew&quotechars friends at the door.She asked him whether any were going to the movie with him.Matthew said that only some of them were.He addedthatthe restwould betoobusy.""",""" only some of them """,""" any """,631,599,542,536,533,463,510,366,246,NA
"65",1,"""The kids in the first grade class were getting antsy.Kim asked Mrs. Brady whether all could go outside for recess.Mrs. Brady said that only some of them could.She addedthatthe restwould bestaying insideto do make-up work.""",""" only some of them """,""" all """,887,711,581,654,502,526,574,646,649,476
"66",1,"""Mrs. Myers was worried that her students weren&quotechart ready for the test.She asked the Mr. Robbins whether all had to take the test.Mr. Robbins said that only some of them did.He addedthatthe restwould beable totake itthe next weekend.""",""" only some of them """,""" all """,723,327,407,477,295,261,373,511,502,694
"67",1,"""Jason and Perry were ordering computers for the new lab.Perry asked Jason whether any would have an Internet connection.Jason said that only some of them would.He addedthatthe restwould befor offline workonly.""",""" only some of them """,""" any """,705,383,405,309,245,278,382,300,686,NA
"68",1,"""In the store, Sally was unpacking the new shipment of shoes.She asked Tiffany whether all should be marked on sale.Tiffany said that only some of them should.She addedthatthe restwould beatfull price.""",""" only some of them """,""" all """,590,470,342,310,262,271,285,302,374,NA
"69",1,"""The clothing store just received a shipment of jeans.Jared asked Erica whether all should be displayed out front.Erica said that  some of them should.She addedthatthe restwould bekeptin the backfor now.""",""" some of them """,""" all """,583,252,237,335,261,190,283,317,503,542
"70",1,"""The soccer players were all training very hard.Eric asked Jack whether all would go to the tournament.Jack said that some of them would.He addedthatthe restwould bestayingin town.""",""" some of them """,""" all """,686,333,357,335,422,404,326,318,478,NA
"71",1,"""Josh wanted to talk about the new movie with his co-workers.He asked his co-worker Seth whether all had seen the movie yet.Seth said that some of them had.He addedthatthe restwould bemadif Joshgave away spoilers.""",""" some of them """,""" all """,918,464,317,327,316,278,240,335,517,727
"72",1,"""Justin wanted to find out which of Mike&quotechars desserts he could eat.He asked Mike whether any could be made gluten free.Mike said that some of them could.He addedthatthe restwould behard to dothat way.""",""" some of them """,""" any """,718,431,334,230,198,231,238,239,293,NA
"73",1,"""Molly was looking at apartments.She asked the agent Sally whether all would be available next month.Sally said that  some of them would.She addedthatthe restwould beavailablein August.""",""" some of them """,""" all """,622,463,367,373,350,285,262,312,509,NA
"74",1,"""Darren knew his relatives would come for his birthday.Darren asked his mother, Sally, whether any would be giving him clothes.Sally said that only some of them would.She addedthatthe restwould besending himelectronics.""",""" only some of them """,""" any """,686,326,535,374,255,270,325,485,854,NA
"75",1,"""Arthur had set up tables for the garage sale..Sarah asked him whether any would display the nice dishes.Arthur said that only some of them would.He addedthatthe restwould betoounstable.""",""" only some of them """,""" any """,446,294,286,327,278,221,286,462,510,NA
"76",1,"""The students had prepared for the final presentation.Allie asked Margaret whether any were supposed to present today.Margaret said that only some of them were.She addedthatthe restwould bepresentingon Thursday.""",""" only some of them """,""" any """,695,310,398,406,342,342,317,463,510,NA
"77",1,"""Donna and Martha were discussing the rooms of the new house.Donna asked Martha whether all would need to be wallpapered.Martha said that only some of them would.She addedthatthe restwould bepaintedinstead.""",""" only some of them """,""" all """,526,503,278,270,263,278,319,357,510,NA
"78",1,"""The rock band was choosing cities to visit on their next tour.They asked their manager Mary whether any would have good venues available.Mary said that some of them would.She added thatthe restwould bebookedduring the tour.""",""" some of them """,""" any """,709,256,292,462,246,279,366,455,727,NA
"79",1,"""David and Brandon were looking at upcoming video games in the magazine.David asked Brandon whether any would have a multiplayer mode.Brandon said that some of them would.He addedthatthe restwould besingle playeronly.""",""" some of them """,""" any """,637,366,365,255,190,190,255,286,510,NA
"80",1,"""Lana was watching episodes of her favorite sitcom on her day off.Ashley asked her whether all lasted less than an hour..Lana said that some of them did.She addedthatthe restwould betoo rushedthat way.""",""" some of them """,""" all """,590,294,246,334,294,285,318,606,525,NA
"81",1,"""Stan and Marilyn were trying to decide what type of tree to plant.Stan asked Marilyn whether any would grow well in shade.Marilyn said that some of them would.She addedthatthe restwould bebetter offin full sun.""",""" some of them """,""" any """,590,342,287,390,366,421,262,287,471,NA
"82",1,"""Mrs. Landman was looking at laptops for her grandson.She asked the employee Larry whether all were easy to carry around.Larry said that only some of them were.He addedthatthe restwould bepretty heavyto carryto classes.""",""" only some of them """,""" all """,550,301,246,286,311,205,214,270,406,488
"83",1,"""Greg was trying to choose which wine to order with dinner.He asked the waitress Michelle whether all would go well with fish.Michelle said that only some of them would.She addedthatthe restwould betoo sweetfor that.""",""" only some of them """,""" all """,550,287,236,230,206,416,252,246,423,NA
"84",1,"""Abby was taking her mom to meet her roommates.Her mom asked Abby whether any would be home right now.Abby said that only some of them would.She addedthatthe restwould beat workor in class.""",""" only some of them """,""" any """,598,280,221,214,222,279,230,174,230,NA
"85",1,"""Molly and Tony were hosting a dinner party for Tony&quotechars classmates.Molly asked Tony whether all were allergic to any foods.Tony said that only some of them were.He addedthatthe restwould beable to eatanything.""",""" only some of them """,""" all """,478,334,221,214,286,270,261,286,308,NA
"86",1,"""Lydia was trying to choose one of the kittens from her friend Kim&quotechars pet store.She asked Kim if any had gotten their shots yet.Kim said that only some of them had.She addedthatthe restwould begetting themlater.""",""" only some of them """,""" any """,439,356,318,294,254,261,351,518,510,NA
"87",1,"""Lyle was driving to meet his friends at the restaurant.He asked Sarah whether all were already at the table.Sarah said that some of them were.She addedthatthe restwould betherein five minutes.""",""" some of them """,""" all """,846,630,573,526,542,533,509,309,431,NA
"88",1,"""Dr. Jones was scheduling end-of-semester meetings.The secretary asked him whether any would be in the afternoon.Dr. Jones said that some of them would.He addedthatthe restwould beearlyin the morning.""",""" some of them """,""" any """,797,567,334,454,493,437,383,471,559,NA
"89",1,"""Brian had just finished checking the bikes in Tom&quotechars garage.Tom asked Brian whether any needed to get a tune-up.Brian said that only some of them did.He addedthatthe restwould befineforanother few months.""",""" only some of them """,""" any """,557,285,452,446,254,213,330,426,517,751
"90",1,"""Trevor was curious about the professors&quotechar summer breaks.He asked Dr. Johnson whether all would be going out of town.Dr. Johnson said that some of them would.He addedthatthe restwould bearoundall summer.""",""" some of them """,""" all """,391,254,215,199,198,222,216,172,182,NA
"91",1,"""Carrie and Tim were comparing venues for their upcoming wedding.Carrie asked Tim whether any would accommodate so many guests.Tim said that only some of them would.He addedthatthe restwould becrowdedwiththat many people.""",""" only some of them """,""" any """,646,238,271,270,222,230,232,317,439,350
"92",1,"""Brian had hired several new people to work at his restaurant.The chef asked him whether any would work in the kitchen.Brian said that only some of them would.He addedthatthe restwould beserversin the dining room.""",""" only some of them """,""" any """,654,414,278,222,214,286,366,422,606,NA
"93",1,"""Eric was preparing to travel in Italy with his classmates.Eric&quotechars mom asked him whether all had been to Europe before.Eric said that only some of them had.He addedthatthe restwould benervous abouttraveling abroad.""",""" only some of them """,""" all """,350,310,207,143,182,192,189,198,510,NA
"94",1,"""Andy and Lisa were moving some pieces of furniture.Lisa asked Andy whether all would fit in his car.Andy said that some of them would.He addedthatthe restwould betoo bigfor his car.""",""" some of them """,""" all """,525,230,247,286,176,134,150,181,286,NA
"95",2,"""Max and Aaron were getting ready to host prospective students.Max asked Aaron whether any needed rides from the airport.Aaron said that only some of them did.He addedthatthe restwould bedrivingthemselves.""",""" only some of them """,""" any """,576,798,630,631,526,478,590,630,734,NA
"96",2,"""Jenna and Alex were making cupcakes.Jenna asked Alex whether all were ready to be frosted.Alex said that some of them were.He addedthatthe restwould bereadysoon.""",""" some of them """,""" all """,726,992,589,663,575,573,583,566,711,NA
"97",2,"""Arthur had set up tables for the garage sale..Sarah asked him whether any would display the nice dishes.Arthur said that only some of them would.He addedthatthe restwould betoounstable.""",""" only some of them """,""" any """,1344,750,608,664,584,526,551,590,744,NA
"98",2,"""Darren knew his relatives would come for his birthday.Darren asked his mother, Sally, whether all would be giving him clothes.Sally said that some of them would.She addedthatthe restwould besending himelectronics.""",""" some of them """,""" all """,646,486,480,439,382,478,511,581,607,NA
"99",2,"""Brian had just finished checking the bikes in Tom&quotechars garage.Tom asked Brian whether any needed to get a tune-up.Brian said that only some of them did.He addedthatthe restwould befineforanother few months.""",""" only some of them """,""" any """,590,468,417,432,413,439,406,398,437,369
"100",2,"""Jason and Perry were ordering computers for the new lab.Perry asked Jason whether all would have an Internet connection.Jason said that some of them would.He addedthatthe restwould befor offline workonly.""",""" some of them """,""" all """,496,352,366,343,391,376,415,383,577,NA
"101",2,"""Lana was watching episodes of her favorite sitcom on her day off.Ashley asked her whether any lasted less than an hour..Lana said that some of them did.She addedthatthe restwould betoo rushedthat way.""",""" some of them """,""" any """,590,480,414,401,399,431,391,430,408,NA
"102",2,"""In the store, Sally was unpacking the new shipment of shoes.She asked Tiffany whether all should be marked on sale.Tiffany said that some of them should.She addedthatthe restwould beatfull price.""",""" some of them """,""" all """,663,518,367,374,384,400,399,431,455,NA
"103",2,"""Paul and Deb were trying to decide which gym to go to.Paul asked Deb whether any had discounts for college students.Deb said that only some of them did.She addedthatthe restwould beatfull price.""",""" only some of them """,""" any """,790,480,400,415,351,390,401,358,367,NA
"104",2,"""Eric was preparing to travel in Italy with his classmates.Eric&quotechars mom asked him whether any had been to Europe before.Eric said that only some of them had.He addedthatthe restwould benervous abouttraveling abroad.""",""" only some of them """,""" any """,544,327,431,390,401,517,425,398,431,NA
"105",2,"""Mrs. Landman was looking at laptops for her grandson.She asked the employee Larry whether any were easy to carry around.Larry said that some of them were.He addedthatthe restwould bepretty heavyto carryto classes.""",""" some of them """,""" any """,711,511,294,463,430,448,376,422,441,454
"106",2,"""Terry and his coach Rick were discussing top runners from the area.Terry asked Rick whether any would be at the race.Rick said that only some of them would.He addedthatthe restwould berestingfor the championships.""",""" only some of them """,""" any """,582,488,399,432,405,399,447,415,527,NA
"107",2,"""The rock band was choosing cities to visit on their next tour.They asked their manager Mary whether any would have good venues available.Mary said that some of them would.She added thatthe restwould bebookedduring the tour.""",""" some of them """,""" any """,722,718,680,726,566,503,464,433,414,NA
"108",2,"""Abby was taking her mom to meet her roommates.Her mom asked Abby whether all would be home right now.Abby said that some of them would.She addedthatthe restwould beat workor in class.""",""" some of them """,""" all """,565,375,416,423,358,400,374,446,441,NA
"109",2,"""Carrie and Tim were comparing venues for their upcoming wedding.Carrie asked Tim whether all would accommodate so many guests.Tim said that only some of them would.He addedthatthe restwould becrowdedwiththat many people.""",""" only some of them """,""" all """,685,535,382,408,401,422,454,696,503,526
"110",2,"""The kids in the first grade class were getting antsy.Kim asked Mrs. Brady whether all could go outside for recess.Mrs. Brady said that some of them could.She addedthatthe restwould bestaying insideto do make-up work.""",""" some of them """,""" all """,992,646,494,511,384,478,432,431,535,464
"111",2,"""The zookeeper was going to do a routine check-up on the lions.He asked Robbie whether any had been fed that morning.Robbie said that only some of them had.He addedthatthe restwould befedin the afternoon.""",""" only some of them """,""" any """,735,487,431,446,408,430,406,431,455,NA
"112",2,"""Jim and Breanna were thinking of inviting their classmates to the movie theater.Jim asked Breanna whether any were interested in artsy movies.Breanna said that only some of them were.She addedthatthe restwould  beboredat those movies.""",""" only some of them """,""" any """,599,463,416,367,390,447,472,671,318,NA
"113",2,"""Andrea was looking at computers in the store.She asked the clerk Tom whether any came with webcams built in.Tom said that only some of them did.He addedthatthe restwould beable to usea USB webcam.""",""" only some of them """,""" any """,1472,959,831,662,272,406,485,425,423,NA
"114",2,"""Kurt and Brooke were thinking of selling their movies at a yard sale.Brooke asked Kurt whether all were all right to sell.Kurt said that some of them were.He addedthatthe restwould beinappropriatefor kids.""",""" some of them """,""" all """,768,583,350,359,342,294,368,375,359,NA
"115",2,"""Stan and Marilyn were trying to decide what type of tree to plant.Stan asked Marilyn whether all would grow well in shade.Marilyn said that some of them would.She addedthatthe restwould bebetter offin full sun.""",""" some of them """,""" all """,670,612,441,408,391,367,487,390,1014,NA
"116",2,"""Donna and Martha were discussing the rooms of the new house.Donna asked Martha whether any would need to be wallpapered.Martha said that only some of them would.She addedthatthe restwould bepaintedinstead.""",""" only some of them """,""" any """,614,553,470,391,359,375,399,382,464,NA
"117",2,"""Quinn and Chase were thinking about going to one of the season&quotechars ball games.Quinn asked Chase whether any were scheduled for the afternoon.Chase said that only some of them were.He addedthatthe restwould beplayedat night.""",""" only some of them """,""" any """,527,423,400,407,414,416,584,415,366,NA
"118",2,"""David and Brandon were looking at upcoming video games in the magazine.David asked Brandon whether any would have a multiplayer mode.Brandon said that only some of them would.He addedthatthe restwould besingle playeronly.""",""" only some of them """,""" any """,648,432,325,368,366,383,390,345,351,NA
"119",2,"""Tracy and Mark were trying to choose a restaurant downtown for their rehearsal dinner.Mark asked Tracy whether any were open on the weekends.Tracy said that some of them were.She addedthatthe restwould beclosedat that time.""",""" some of them """,""" any """,790,448,335,382,345,374,326,320,375,NA
"120",2,"""Susie heard Matthew&quotechars friends at the door.She asked him whether all were going to the movie with him.Matthew said that some of them were.He addedthatthe restwould betoobusy.""",""" some of them """,""" all """,671,400,400,358,391,358,374,374,407,NA
"121",2,"""Brian had hired several new people to work at his restaurant.The chef asked him whether any would work in the kitchen.Brian said that only some of them would.He addedthatthe restwould beserversin the dining room.""",""" only some of them """,""" any """,615,575,382,647,350,488,375,351,422,NA
"122",2,"""Dr. Jones was scheduling end-of-semester meetings.The secretary asked him whether any would be in the afternoon.Dr. Jones said that some of them would.He addedthatthe restwould beearlyin the morning.""",""" some of them """,""" any """,526,368,351,310,344,350,349,344,383,NA
